Bf-Nr;RIL 100;BFNAM;Bahnsteig-Nr.;HOEHE [cm];NETTOLAENGE [m]
8263;FATC;Ahnatal-Casselbreite;1;38;115
8263;FATC;Ahnatal-Casselbreite;2;38;115
2616;FHEH;Ahnatal-Heckershausen;1;38;115
2616;FHEH;Ahnatal-Heckershausen;2;38;115
6618;FWEI;Ahnatal-Weimar;1;38;113
6618;FWEI;Ahnatal-Weimar;2;38;123
33;MAIC;Aich (Niederbay);1;38;115
102;FAHN;Altenhasungen;1;38;110
106;MATM;Altenmarkt (Alz);1;38;60
127;MAT;Altötting;1;55;136
127;MAT;Altötting;2;55;220
127;MAT;Altötting;3;55;220
138;NAMB;Amorbach;2;55;100
138;NAMB;Amorbach;3;55;100
153;DABM;Annaberg-Buchholz Mitte;1;55;80
154;DAB;Annaberg-Buchholz Süd;15 01;55;100
154;DAB;Annaberg-Buchholz Süd;15 02;55;100
155;DABU;Annaberg-Buchholz unt Bahnhof;14 01;55;100
155;DABU;Annaberg-Buchholz unt Bahnhof;14 02;55;100
162;DATL;Antonsthal;2;55;100
162;DATL;Antonsthal;3;55;100
165;MAK;Anzenkirchen;1;38;120
4666;NOBN;Aschaffenburg-Obernau;1;55;140
205;DAU;Aue (Sachs);1;55;100
205;DAU;Aue (Sachs);33;55;170
205;DAU;Aue (Sachs);34;55;100
8216;DAUS;Aue (Sachs) Erzgebirgsstadion;1;55;80
7463;FAR;Bad Arolsen;1;55;114
7463;FAR;Bad Arolsen;2;35;166
255;MBIB;Bad Birnbach;2;38;120
283;MBHT;Bad Höhenstadt;1;38;60
3487;ELSP;Bad Laasphe;1;55;100
3487;ELSP;Bad Laasphe;2;55;100
8223;ENL;Bad Laasphe-Niederlaasphe;1;55;100
305;TBMR;Bad Mergentheim;1;21;174
305;TBMR;Bad Mergentheim;2;30;210
305;TBMR;Bad Mergentheim;3;38;210
5587;DSUB;Bad Schlema;1;55;80
5587;DSUB;Bad Schlema;2;55;80
362;FBWD;Bad Wildungen;1;55;222
407;DBS;Bärenstein (Kr Annaberg);1;25;120
434;MBYB;Bayerbach;1;38;120
445;UBET;Bechstedt-Trippstein;1;38;120
8217;MBID;Bibelöd;1;55;100
620;FBIK;Biedenkopf;2;38;109
620;FBIK;Biedenkopf;3;38;108
8218;FBIZ;Biedenkopf Wirtschafts- und Wissenscampus;1;55;110
6502;FWA;Biedenkopf-Wallau;1;55;110
657;FBBH;Birkenbringhausen;1;55;101
697;TBLF;Blaufelden;1;26;138
697;TBLF;Blaufelden;2;23;262
711;DBLU;Blumenau;1;55;80
745;RBGH;Bödigheim;1;55;100
745;RBGH;Bödigheim;2;55;100
848;DBRE;Breitenbrunn (Erzgeb);1;55;80
930;RBUN;Buchen im Odenwald;1;26;87
930;RBUN;Buchen im Odenwald;2;33;100
931;RBUO;Buchen Ost;1;27;58
932;FBNU;Buchenau (Lahn);2;38;105
932;FBNU;Buchenau (Lahn);3;24;116
985;MBUH;Burghausen;1;55;144
985;MBUH;Burghausen;2;35;91
985;MBUH;Burghausen;3;35;112
990;MBGK;Burgkirchen;1;55;120
1001;DBUF;Burkhardtsdorf;1;55;100
1001;DBUF;Burkhardtsdorf;2;55;100
8219;DBUM;Burkhardtsdorf Mitte;1;55;80
1018;DCDF;Cainsdorf;1;55;93
1018;DCDF;Cainsdorf;2;55;93
1023;FCLD;Caldern;1;38;110
1047;DCE;Chemnitz-Erfenschlag;1;55;80
1051;DCRE;Chemnitz-Reichenhain;1;55;80
5210;NRF;Collenberg;1;55;100
1094;UCF;Cursdorf;1;96;30
1228;TDIH;Distelhausen;1;55;100
1232;DDF;Dittersdorf;1;55;80
1233;TDM;Dittigheim;1;27;59
1267;DDCH;Dorfchemnitz (b Zwönitz);1;55;80
1272;NDP;Dorfprozelten;1;55;100
1460;TED;Edelfingen;1;22;153
1466;MEDL;Edling;1;76;120
1474;MEGF;Eggenfelden;1;38;120
1474;MEGF;Eggenfelden;2;38;60
8209;MEFM;Eggenfelden Mitte;1;55;120
1477;MEGK;Egglkofen;1;35;125
1477;MEGK;Egglkofen;2;38;60
1490;FEGN;Ehringen;1;55;111
1524;DED;Einsiedel;1;55;100
1524;DED;Einsiedel;2;55;100
8220;DEDH;Einsiedel Gymnasium;1;55;70
1531;MEZT;Eisenärzt;1;55;100
1559;TELP;Elpersheim;1;35;97
1600;MEGH;Engertsham;1;38;60
